tf,session,setup,filters,target,trades,win%,PF,net$,/mo@0.5%,folds+,worst_fold$,robust
5m,london+ny,ob,pd,fix3,1542,41.2,0.83,-4317,-180,0/6,-1565,False
5m,london+ny,ob,pd,struct,1542,41.2,0.83,-4317,-180,0/6,-1565,False
5m,ny,sweep,raw,fix3,1227,40.1,0.8,-4318,-180,1/6,-1176,False
5m,ny,sweep,raw,struct,1227,40.1,0.8,-4318,-180,1/6,-1176,False
5m,asian,ob,pd+sweep,fix3,975,39.4,0.75,-4349,-181,0/6,-1427,False
5m,asian,ob,pd+sweep,struct,975,39.4,0.75,-4349,-181,0/6,-1427,False
5m,all,fvg,raw,fix3,4820,46.3,0.94,-4447,-185,2/6,-2250,False
5m,all,fvg,raw,struct,4820,46.3,0.94,-4447,-185,2/6,-2250,False
15m,london+ny,sweep,raw,fix2,933,31.2,0.75,-4523,-188,1/6,-1059,False
5m,london,sweep,raw,fix2,950,32.7,0.75,-4808,-200,0/6,-1276,False
5m,ny,sweep,raw,fix2,1143,33.1,0.78,-4847,-202,0/6,-1677,False
5m,london,sweep,raw,fix3,1017,38.5,0.72,-5200,-217,0/6,-1361,False
5m,london,sweep,raw,struct,1017,38.5,0.72,-5200,-217,0/6,-1361,False
5m,all,ob,pd+sweep,fix2,2016,35.3,0.85,-5498,-229,0/6,-1760,False
5m,asian,sweep,bias,fix2,917,31.8,0.7,-5567,-232,0/6,-2322,False
5m,asian,sweep,bias,fix3,961,37.7,0.68,-5650,-235,0/6,-1950,False
5m,asian,sweep,bias,struct,961,37.7,0.68,-5650,-235,0/6,-1950,False
5m,all,ob,pd+sweep,fix3,2179,41.0,0.82,-6733,-281,0/6,-1970,False
5m,all,ob,pd+sweep,struct,2179,41.0,0.82,-6733,-281,0/6,-1970,False
15m,all,sweep,raw,fix3,2456,39.4,0.84,-6966,-290,1/6,-2354,False
15m,all,sweep,raw,struct,2456,39.4,0.84,-6966,-290,1/6,-2354,False
15m,all,sweep,raw,fix2,2162,33.4,0.82,-7291,-304,1/6,-2132,False
5m,asian,ob,pd,fix3,1416,37.9,0.71,-7357,-307,1/6,-2146,False
5m,asian,ob,pd,struct,1416,37.9,0.71,-7357,-307,1/6,-2146,False
5m,asian,ob,pd,fix2,1307,31.5,0.72,-7425,-309,1/6,-2156,False
5m,london+ny,sweep,raw,fix2,2038,33.5,0.78,-8551,-356,1/6,-2474,False
5m,all,ob,pd,fix2,2137,33.5,0.79,-8848,-369,0/6,-2934,False
5m,london+ny,sweep,raw,fix3,2217,39.3,0.76,-9451,-394,0/6,-2536,False
5m,london+ny,sweep,raw,struct,2217,39.3,0.76,-9451,-394,0/6,-2536,False
5m,asian,sweep,raw,fix2,1823,31.5,0.7,-11034,-460,0/6,-2721,False
5m,all,ob,pd,fix3,2326,38.3,0.73,-11150,-465,0/6,-2714,False
5m,all,ob,pd,struct,2326,38.3,0.73,-11150,-465,0/6,-2714,False
5m,asian,sweep,raw,fix3,2017,37.6,0.7,-11348,-473,0/6,-2653,False
5m,asian,sweep,raw,struct,2017,37.6,0.7,-11348,-473,0/6,-2653,False
5m,all,sweep,bias,fix3,2951,40.3,0.78,-11672,-486,0/6,-3546,False
5m,all,sweep,bias,struct,2951,40.3,0.78,-11672,-486,0/6,-3546,False
5m,all,sweep,bias,fix2,2737,33.8,0.78,-11715,-488,1/6,-3860,False
5m,all,sweep,raw,fix2,5308,33.0,0.76,-24980,-1041,0/6,-6124,False
5m,all,sweep,raw,fix3,6130,39.2,0.75,-27424,-1143,0/6,-6331,False
5m,all,sweep,raw,struct,6130,39.2,0.75,-27424,-1143,0/6,-6331,False
