tf,session,setup,filters,target,is_n,is_win,is_net,is_pf,oos_n,oos_win,oos_net,oos_pf,total_net,PASS
1h,asian,ob,pd+sweep,struct,57,36.8,-119,0.87,28,60.7,443,2.58,323,False
5m,asian,ob,pd+bias+sweep+mss,fix2,84,41.7,240,1.17,38,52.6,441,1.94,681,False
5m,all,sweep,bias+mss,struct,717,41.3,-1499,0.87,393,43.8,441,1.07,-1058,False
1h,london,fvg,raw,fix2,143,39.9,246,1.1,85,42.4,438,1.33,684,False
1h,asian,ob,pd,fix2,107,30.8,-332,0.83,48,45.8,425,1.64,93,False
15m,ny,sweep,raw,struct,396,34.6,-1928,0.73,217,43.8,424,1.13,-1504,False
15m,asian,ob,pd+bias+sweep,struct,107,37.4,-327,0.82,34,58.8,412,2.14,86,False
1h,asian,ob,pd+sweep,fix2,57,31.6,-136,0.87,28,53.6,409,2.23,273,False
15m,all,ob,pd+bias+sweep+mss,struct,95,45.3,254,1.18,39,56.4,402,1.91,655,False
5m,ny,ob,raw,fix2,768,37.5,304,1.02,438,36.3,380,1.05,684,False
15m,all,ob,pd,fix2,505,32.9,-1179,0.87,299,36.5,373,1.08,-806,False
5m,london+ny,ob,pd,struct,970,40.4,-1990,0.88,566,42.6,351,1.04,-1639,False
5m,ny,ob,pd,fix2,642,34.7,-1155,0.9,359,36.5,345,1.06,-810,False
15m,asian,sweep,bias,struct,309,41.4,-285,0.94,114,45.6,342,1.21,57,False
1h,london+ny,ob,pd+sweep,fix2,80,35.0,-1,1.0,37,45.9,331,1.65,331,False
5m,london+ny,ob,pd+bias+sweep,fix2,330,43.6,1645,1.33,136,38.2,321,1.15,1967,False
15m,ny,ob,pd+bias,struct,169,45.6,396,1.16,84,46.4,320,1.28,715,False
5m,asian,ob,pd+bias+sweep+mss,struct,84,42.9,-94,0.93,38,55.3,315,1.71,222,False
5m,london+ny,ob,pd,fix2,914,35.7,-976,0.94,522,36.0,311,1.04,-666,False
1h,all,sweep,bias+mss,fix2,63,34.9,-24,0.98,21,52.4,311,2.33,286,False
5m,ny,sweep,bias+mss,fix2,158,36.7,-146,0.95,73,41.1,310,1.27,163,False
15m,asian,ob,pd+bias,fix2,181,36.5,36,1.01,74,40.5,300,1.26,336,False
15m,london,fvg,pd+bias,fix2,113,41.6,241,1.13,39,46.2,289,1.5,530,False
15m,asian,sweep,bias,fix2,298,35.2,-425,0.92,109,38.5,284,1.16,-141,False
5m,london+ny,sweep,raw,fix2,1323,32.0,-5512,0.78,803,36.0,275,1.02,-5237,False
15m,london+ny,ob,pd+bias+sweep+mss,struct,54,40.7,24,1.03,24,58.3,273,2.05,297,False
5m,asian,sweep,bias+mss,fix2,241,32.8,-1006,0.78,105,39.0,272,1.16,-733,False
1h,all,ob,pd+sweep,fix2,126,36.5,149,1.07,52,40.4,270,1.35,420,False
15m,london+ny,ob,pd+bias+sweep,fix2,159,35.8,16,1.01,65,40.0,264,1.26,280,False
15m,ny,ob,pd+bias+sweep+mss,struct,37,43.2,70,1.13,22,59.1,255,2.09,325,False
5m,ny,sweep,raw,struct,801,38.1,-3013,0.78,466,42.5,245,1.03,-2768,False
5m,ny,sweep,bias+mss,struct,163,46.6,247,1.1,74,47.3,244,1.24,490,False
